IDOrder,IDrestaurant,IDclient,date,heure,modepaiement,remise,IDcaissier,etatpaiement
C0001,R1,1,2024-01-01,23:05:00,Cash,40,1,0
C0002,R1,1,2024-01-01,15:26:00,Card,0,1,0
C0003,R1,1,2024-01-01,14:10:00,Card,0,2,0
C0004,R1,1,2024-01-01,18:17:00,Card,10,2,0
C0005,R1,1,2024-01-01,10:19:00,Card,20,1,1
C0006,R1,1,2024-01-01,12:59:00,Card,20,3,0
C0007,R1,1,2024-01-01,17:01:00,Card,0,1,1
C0008,R1,1,2024-01-01,15:16:00,Cash,10,1,0
C0009,R1,1,2024-01-01,10:30:00,Cash,0,1,0
C0010,R1,1,2024-01-01,18:11:00,Cash,10,2,1
C0011,R1,1,2024-01-01,13:22:00,Card,0,3,0
C0012,R1,1,2024-01-01,15:33:00,Cash,0,1,0
C0013,R1,1,2024-01-01,12:23:00,Cash,999,2,0
C0014,R1,1,2024-01-01,21:14:00,Cash,20,1,0
C0015,R1,1,2024-01-01,15:44:00,Card,0,1,1
C0016,R1,1,2024-01-01,17:18:00,Card,30,1,0
C0017,R1,1,2024-01-01,15:38:00,Cash,0,3,1
C0018,R1,1,2024-01-01,23:05:00,Cash,0,1,1
C0019,R1,1,2024-01-01,14:07:00,Card,30,3,1
C0020,R1,1,2024-01-01,17:50:00,Card,0,2,1
C0021,R1,1,2024-01-01,22:00:00,Cash,10,2,0
C0022,R1,1,2024-01-01,21:32:00,Cash,30,1,0
C0023,R1,1,2024-01-01,12:38:00,Cash,0,3,0
C0024,R1,1,2024-01-01,11:27:00,Cash,30,2,1
C0025,R1,1,2024-01-01,13:56:00,,30,1,1
C0026,R1,1,2024-01-01,20:44:00,Cash,0,3,0
C0027,R1,1,2024-01-01,15:40:00,Cash,0,3,0
C0028,R1,1,2024-01-01,18:00:00,Card,0,2,0
C0029,R1,1,2024-01-01,10:12:00,Card,10,2,0
C0030,R1,1,2024-01-01,11:14:00,Card,40,2,0
C0031,R1,1,2024-01-01,14:39:00,Card,0,3,1
C0032,R1,1,2024-01-01,10:00:00,Cash,0,2,1
C0033,R1,1,2024-01-01,11:41:00,Card,0,2,0
C0034,R1,1,2024-01-01,20:58:00,Cash,0,3,1
C0035,R1,1,2024-01-01,14:37:00,Cash,20,1,0
C0036,R1,1,2024-01-01,23:43:00,,0,2,0
C0037,R1,1,2024-01-01,11:43:00,Cash,0,3,0
C0038,R1,1,2024-01-01,23:55:00,Cash,0,2,0
C0039,R1,1,2024-01-01,12:28:00,Card,20,3,1
C0040,R1,1,2024-01-01,23:06:00,Cash,30,1,0
C0041,R1,1,2024-01-01,22:02:00,Card,0,1,1
C0042,R1,1,2024-01-01,21:14:00,Card,0,3,1
C0043,R1,1,2024-01-01,21:44:00,Cash,30,1,0
C0044,R1,1,2024-01-01,23:53:00,Card,10,2,1
C0045,R1,1,2024-01-01,18:16:00,Cash,0,1,1
C0046,R1,1,2024-01-01,19:05:00,Cash,30,1,0
C0047,R1,1,2024-01-01,22:14:00,Cash,0,1,0
C0048,R1,1,2024-01-01,15:32:00,Cash,10,2,0
C0049,R1,1,2024-01-01,15:38:00,Card,40,1,1
C0050,R1,1,2024-01-01,18:38:00,Card,30,1,0
C0051,R1,1,2024-01-01,18:28:00,Card,0,2,0
C0052,R1,1,2024-01-01,21:49:00,Card,0,2,0
C0053,R1,1,2024-01-01,18:53:00,Card,0,3,1
C0054,R1,1,2024-01-01,10:41:00,Card,0,1,0
C0055,R1,1,2024-01-01,23:53:00,Cash,0,2,1
